x_value,total_1,total_2
0,1000,1000
1,999,995
2,993,1000
3,993,1005
4,999,1006
5,995,1008
6,992,1006
7,987,1012
8,987,1013
9,983,1015
10,987,1010
11,994,1011
12,999,1006
13,1002,1002
14,999,1005
15,1006,1007
16,1003,1006
17,1001,1011
18,1001,1010
19,997,1011
20,994,1008
21,996,1005
22,991,1006
23,986,1001
24,981,999
25,986,1003
26,991,1006
27,989,1002
28,993,1002
29,990,998
30,989,997
31,997,999
32,995,996
33,1001,1001
34,1000,1003
35,1007,1007
36,1007,1006
37,1009,1009
38,1009,1011
39,1004,1008
40,999,1014
41,1001,1009
42,996,1014
43,999,1014
44,996,1014
45,998,1011
46,1002,1017
47,1009,1020
48,1006,1019
49,1013,1019
50,1020,1016
